subject,relation,object,subject_label,object_label,sentence,source_url
diabetes,hasSymptom*,decline,DISEASE,SYMPTOM,"There is a link between cognitive deficit and diabetes; studies have shown that diabetic individuals are at a greater risk of cognitive decline, and have a greater rate of decline compared to those without the disease.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"The genes that are responsible for diabetes are still being researched, but scientists have narrowed them down by investigating the gene mutations related to the capability of the body’s β-cells to produce insulin.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"LADA leaves adults with higher levels of insulin production than type 1 diabetes, but not enough insulin production for healthy blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2  Type 2 diabetes is characterized by insulin resistance, which may be combined with relatively reduced insulin secretion.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,The progression of prediabetes to overt type 2 diabetes can be slowed or reversed by lifestyle changes or medications that improve insulin sensitivity or reduce the liver's glucose production.,https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,The progression of prediabetes to overt type 2 diabetes can be slowed or reversed by lifestyle changes or medications that improve insulin sensitivity or reduce the liver's glucose production.,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,The progression of prediabetes to overt type 2 diabetes can be slowed or reversed by lifestyle changes or medications that improve insulin sensitivity or reduce the liver's glucose production.,https://en.wikipedia.org/wiki/Diabetes
Gestational,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
Gestational,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Gestational diabetes  Gestational diabetes resembles type 2 diabetes in several respects, involving a combination of relatively inadequate insulin secretion and responsiveness.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Maturity-onset diabetes of the young  Maturity-onset diabetes of the young (MODY) is a rare autosomal dominant inherited form of diabetes, due to one of several single-gene mutations causing defects in insulin production.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Maturity-onset diabetes of the young  Maturity-onset diabetes of the young (MODY) is a rare autosomal dominant inherited form of diabetes, due to one of several single-gene mutations causing defects in insulin production.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Maturity-onset diabetes of the young  Maturity-onset diabetes of the young (MODY) is a rare autosomal dominant inherited form of diabetes, due to one of several single-gene mutations causing defects in insulin production.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 5 (malnutrition-related) Malnutrition-related diabetes, also termed Type 5 diabetes, involves decreased insulin production, similar to Type 1 diabetes, but is primarily related to malnutrition rather than autoimmune damage of pancreas beta cells.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 5 (malnutrition-related) Malnutrition-related diabetes, also termed Type 5 diabetes, involves decreased insulin production, similar to Type 1 diabetes, but is primarily related to malnutrition rather than autoimmune damage of pancreas beta cells.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 5 (malnutrition-related) Malnutrition-related diabetes, also termed Type 5 diabetes, involves decreased insulin production, similar to Type 1 diabetes, but is primarily related to malnutrition rather than autoimmune damage of pancreas beta cells.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 5 (malnutrition-related) Malnutrition-related diabetes, also termed Type 5 diabetes, involves decreased insulin production, similar to Type 1 diabetes, but is primarily related to malnutrition rather than autoimmune damage of pancreas beta cells.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 5 (malnutrition-related) Malnutrition-related diabetes, also termed Type 5 diabetes, involves decreased insulin production, similar to Type 1 diabetes, but is primarily related to malnutrition rather than autoimmune damage of pancreas beta cells.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Other types Some cases of diabetes are caused by the body's tissue receptors not responding to insulin (even when insulin levels are normal, which is what separates it from type 2 diabetes); this form is very uncommon.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,Diseases associated with excessive secretion of insulin-antagonistic hormones can cause diabetes (which is typically resolved once the hormone excess is removed).,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Many drugs impair insulin secretion and some toxins damage pancreatic beta cells, whereas others increase insulin resistance (especially glucocorticoids which can provoke ""steroid diabetes"").",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Many drugs impair insulin secretion and some toxins damage pancreatic beta cells, whereas others increase insulin resistance (especially glucocorticoids which can provoke ""steroid diabetes"").",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"This is when a type 1 diabetic becomes insulin resistant, the hallmark for type 2 diabetes or has a family history for type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,Insulin,DISEASE,MEDICATION,"The following is a list of disorders that may increase the risk of diabetes:   Unofficial Insulin resistance in the brain caused by Alzheimer's disease has been termed by some researchers as Type 3 diabetes, though this label is also rejected by some to avoid confusion with other types classified as",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,confusion,DISEASE,SYMPTOM,"The following is a list of disorders that may increase the risk of diabetes:   Unofficial Insulin resistance in the brain caused by Alzheimer's disease has been termed by some researchers as Type 3 diabetes, though this label is also rejected by some to avoid confusion with other types classified as",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,Insulin,DISEASE,MEDICATION,"The following is a list of disorders that may increase the risk of diabetes:   Unofficial Insulin resistance in the brain caused by Alzheimer's disease has been termed by some researchers as Type 3 diabetes, though this label is also rejected by some to avoid confusion with other types classified as",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,confusion,DISEASE,SYMPTOM,"The following is a list of disorders that may increase the risk of diabetes:   Unofficial Insulin resistance in the brain caused by Alzheimer's disease has been termed by some researchers as Type 3 diabetes, though this label is also rejected by some to avoid confusion with other types classified as",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"""Type 4 diabetes"" has been used to describe age-related insulin resistance in lean mice.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Therefore, deficiency of insulin or the insensitivity of its receptors play a central role in all forms of diabetes mellitus.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,Weight,DISEASE,SYMPTOM,"Weight loss can prevent progression from prediabetes to diabetes type 2, decrease the risk of cardiovascular disease, or result in a partial remission in people with diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,loss,DISEASE,SYMPTOM,"Weight loss can prevent progression from prediabetes to diabetes type 2, decrease the risk of cardiovascular disease, or result in a partial remission in people with diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,Weight,DISEASE,SYMPTOM,"Weight loss can prevent progression from prediabetes to diabetes type 2, decrease the risk of cardiovascular disease, or result in a partial remission in people with diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,loss,DISEASE,SYMPTOM,"Weight loss can prevent progression from prediabetes to diabetes type 2, decrease the risk of cardiovascular disease, or result in a partial remission in people with diabetes.",https://en.wikipedia.org/wiki/Diabetes
type,hasSymptom*,weight,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
type,hasSymptom*,loss,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
2,hasSymptom*,weight,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
2,hasSymptom*,loss,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,weight,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,loss,DISEASE,SYMPTOM,"For overweight people with type 2 diabetes, any diet that achieves weight loss is effective.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
type,hasSymptom*,polyuria,DISEASE,SYMPTOM,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
2,hasSymptom*,polyuria,DISEASE,SYMPTOM,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,polyuria,DISEASE,SYMPTOM,"Children with type 2 diabetes have increased risk of developing complications, which include insulin resistance, hyperglycemia, polyuria, ketosis, and dehydration.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Differentiating type 1 from type 2 diabetes may include assessment of fasting blood insulin or C-peptide, or determination of autoantibodies for type 1 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,treatedBy*,endocrinologist,DISEASE,MEDICAL_SPECIALTY,"A health care team may include a pediatric endocrinologist or physician trained in pediatric diabetes, a diabetes specialist nurse, a registered dietitian, a psychologist, a social worker, and child life specialist.",https://en.wikipedia.org/wiki/Diabetes
diabetes,treatedBy*,endocrinologist,DISEASE,MEDICAL_SPECIALTY,"A health care team may include a pediatric endocrinologist or physician trained in pediatric diabetes, a diabetes specialist nurse, a registered dietitian, a psychologist, a social worker, and child life specialist.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes requires treatment with insulin, ideally using a ""basal bolus"" regimen that most closely matches normal insulin release: long-acting insulin for the basal rate and short-acting insulin with meals.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,metformin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,metformin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,metformin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,Type 2 diabetes is generally treated with medication that is taken by mouth (e.g. metformin) although some eventually require injectable treatment with insulin or GLP-1 agonists.,https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,Metformin,DISEASE,MEDICATION,"Metformin is generally recommended as a first-line treatment for type 2 diabetes, as there is good evidence that it decreases mortality.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,Metformin,DISEASE,MEDICATION,"Metformin is generally recommended as a first-line treatment for type 2 diabetes, as there is good evidence that it decreases mortality.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,Metformin,DISEASE,MEDICATION,"Metformin is generally recommended as a first-line treatment for type 2 diabetes, as there is good evidence that it decreases mortality.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"When insulin is used in type 2 diabetes, a long-acting formulation is usually added initially, while continuing oral medications.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"When insulin is used in type 2 diabetes, a long-acting formulation is usually added initially, while continuing oral medications.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"When insulin is used in type 2 diabetes, a long-acting formulation is usually added initially, while continuing oral medications.",https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Some severe cases of type 2 diabetes may also be treated with insulin, which is increased gradually until glucose targets are reached.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Some severe cases of type 2 diabetes may also be treated with insulin, which is increased gradually until glucose targets are reached.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Some severe cases of type 2 diabetes may also be treated with insulin, which is increased gradually until glucose targets are reached.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,Aspirin,DISEASE,MEDICATION,Aspirin The use of aspirin to prevent cardiovascular disease in diabetes is controversial.,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,aspirin,DISEASE,MEDICATION,Aspirin The use of aspirin to prevent cardiovascular disease in diabetes is controversial.,https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,Aspirin,DISEASE,MEDICATION,"Aspirin is recommended by some in people at high risk of cardiovascular disease; however, routine use of aspirin has not been found to improve outcomes in uncomplicated diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,aspirin,DISEASE,MEDICATION,"Aspirin is recommended by some in people at high risk of cardiovascular disease; however, routine use of aspirin has not been found to improve outcomes in uncomplicated diabetes.",https://en.wikipedia.org/wiki/Diabetes
